Nom_complet;Sexe;Nuance;Elu;Région;Tendency
MINGUET Sabrina;FEMININ;RN;False;Nouvelle-Aquitaine;Extrême-Droite
NEGRIER Isabelle;FEMININ;ENS;False;Nouvelle-Aquitaine;Centre-Droite
TOULZA Gilles;MASCULIN;DVC;False;Nouvelle-Aquitaine;Centre
HUMBERT Sébastien;MASCULIN;RN;True;Grand Est;Extrême-Droite
VALENCE David;MASCULIN;ENS;False;Grand Est;Centre-Droite
VIRY Stéphane;MASCULIN;DVD;True;Grand Est;Droite
FRESSE Pauline;FEMININ;RN;False;Grand Est;Extrême-Droite
VILLIERS André;MASCULIN;ENS;False;Bourgogne-Franche-Comté;Centre-Droite
GRENON Daniel;MASCULIN;RN;True;Bourgogne-Franche-Comté;Extrême-Droite
BOUCARD Ian;MASCULIN;LR;True;Bourgogne-Franche-Comté;Droite
BIGOT Guillaume;MASCULIN;RN;True;Bourgogne-Franche-Comté;Extrême-Droite
DA CONCEICAO CARVALHO Nathalie;FEMININ;RN;True;Île-de-France;Extrême-Droite
GUSTAVE Steevy;MASCULIN;UG;True;Île-de-France;Gauche
REDA Robin;MASCULIN;ENS;False;Île-de-France;Centre-Droite
CARBRIAND Jérôme;MASCULIN;UXD;False;Île-de-France;Extrême-Droite
MIDY Paul;MASCULIN;ENS;True;Île-de-France;Centre-Droite
AMRANI Farida;FEMININ;UG;True;Île-de-France;Gauche
OZENNE Julie;FEMININ;UG;True;Île-de-France;Gauche
DUPONT-AIGNAN Nicolas;MASCULIN;DSV;False;Île-de-France;Extrême-Droite
GOUPY Natacha;FEMININ;RN;False;Île-de-France;Extrême-Droite
AMAND Michael;MASCULIN;RN;False;Île-de-France;Extrême-Droite
BREGEON Maud;FEMININ;ENS;True;Île-de-France;Centre-Droite
LAM Thomas;MASCULIN;LR;True;Île-de-France;Droite
RAPILLY-FERNIOT Pauline;FEMININ;UG;False;Île-de-France;Gauche
ADJROUD Lounes;MASCULIN;UG;False;Île-de-France;Gauche
NICOLAS-CHAVANCE Salomé;FEMININ;UG;False;Île-de-France;Gauche
CALVEZ Céline;FEMININ;ENS;True;Île-de-France;Centre-Droite
LE GRIP Constance;FEMININ;ENS;True;Île-de-France;Centre-Droite
SOUBELET Cécile;FEMININ;UG;False;Île-de-France;Gauche
DE CRECY Isabelle;FEMININ;ENS;False;Île-de-France;Centre-Droite
ALI-BENALI Sabrina;FEMININ;UG;False;Île-de-France;Gauche
AWAD Mohamed;MASCULIN;FI;False;Île-de-France;Gauche-Radicale
DIOUARA Aly;MASCULIN;UG;True;Île-de-France;Gauche
PERIER Jean-François;MASCULIN;RN;False;Île-de-France;Extrême-Droite
KELOUA HACHI Fatiha;FEMININ;UG;True;Île-de-France;Gauche
CRETIN-GIELLY Denis;MASCULIN;RN;False;Île-de-France;Extrême-Droite
SIGNOR Loïc;MASCULIN;ENS;False;Île-de-France;Centre-Droite
BERRIOS Sylvain;MASCULIN;DVD;True;Île-de-France;Droite
HUGUENIN-RICHARD Isabelle;FEMININ;RN;False;Île-de-France;Extrême-Droite
HERBILLON Michel;MASCULIN;LR;True;Île-de-France;Droite
AMARA Adel;MASCULIN;UG;False;Île-de-France;Gauche
JEANBRUN Vincent;MASCULIN;LR;True;Île-de-France;Droite
GOUFFIER VALENTE Guillaume;MASCULIN;ENS;True;Île-de-France;Centre-Droite
